,title,link,view,uploader,upload time
0,蔡徐坤打球很菜？喷子们都来看看吧,//www.bilibili.com/video/BV1vb411U75m?from=search&seid=13393846367689805976,"
        1083.3万
      ",红烧肉块,"
        2019-02-14
      "
1,蔡徐坤打球原版 万恶之源,//www.bilibili.com/video/BV1ub411T7mW?from=search&seid=13393846367689805976,"
        6.4万
      ",年少finding,"
        2019-04-13
      "
2,蔡徐坤打球菜？这才是坤坤的真正实力！,//www.bilibili.com/video/BV1eb411L7Pt?from=search&seid=13393846367689805976,"
        1845
      ",坏掉的街灯,"
        2019-04-14
      "
3,这才是蔡徐坤打球的真实水平 黑子们都闭嘴！！,//www.bilibili.com/video/BV1mb411T7Cj?from=search&seid=13393846367689805976,"
        9.8万
      ",性感的公牛,"
        2019-04-09
      "
4,抖音看见北美训练时致敬蔡徐坤打球！火到美国了。,//www.bilibili.com/video/BV1mb411n7LR?from=search&seid=13393846367689805976,"
        97.5万
      ",魔法师小学徒,"
        2019-03-18
      "
5,蔡徐坤打球鬼畜版，蔡徐坤小姐姐你太可爱啦！视频结尾5秒有？？？,//www.bilibili.com/video/BV1ab411W7ah?from=search&seid=13393846367689805976,"
        186.0万
      ",轨迹saber,"
        2019-03-29
      "
6,同样是明星，为什么只有蔡徐坤打球被黑？看看鹿晗的球技就知道了,//www.bilibili.com/video/BV13b411V75U?from=search&seid=13393846367689805976,"
        28.8万
      ",毛肚f,"
        2019-04-19
      "
7,当给蔡徐坤打球加上一些效果..我以笑喷,//www.bilibili.com/video/BV1rb411T7oY?from=search&seid=13393846367689805976,"
        18.7万
      ",椎名ovo,"
        2019-04-09
      "
8,这可能是全B站打球最像蔡徐坤的人了,//www.bilibili.com/video/BV1qb411s77M?from=search&seid=13393846367689805976,"
        7.9万
      ",二向箔的打击,"
        2019-03-31
      "
9,蔡徐坤打球原视频,//www.bilibili.com/video/BV17741147Ga?from=search&seid=13393846367689805976,"
        2088
      ",ROG-343,"
        2020-02-09
      "
10,蔡徐坤打球已经火到国外了,//www.bilibili.com/video/BV18b411J77h?from=search&seid=13393846367689805976,"
        2.0万
      ",些许芬芳罢了,"
        2019-03-16
      "
