name,img,ranking,score,population,info,year,quote
肖申克的救赎,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1,9.7,2488993,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...
                            1994 / 美国 / 犯罪 剧情
                        ",1994,希望让人自由。
霸王别姬,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,2,9.6,1850385,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
                        ",1993,风华绝代。
阿甘正传,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,3,9.5,1870418,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...
                            1994 / 美国 / 剧情 爱情
                        ",1994,一部美国近现代史。
这个杀手不太冷,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,4,9.4,2033044,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
                            1994 / 法国 美国 / 剧情 动作 犯罪
                        ",1994,怪蜀黍和小萝莉不得不说的故事。
泰坦尼克号,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,5,9.4,1832092,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
                            1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难
                        ",1997,失去的才是永恒的。 
美丽人生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,6,9.6,1146741,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",1997,最美的谎言。
千与千寻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,7,9.4,1951426,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
                            2001 / 日本 / 剧情 动画 奇幻
                        ",2001,最好的宫崎骏，最好的久石让。 
辛德勒的名单,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,8,9.5,956215,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
                            1993 / 美国 / 剧情 历史 战争
                        ",1993,拯救一个人，就是拯救整个世界。
盗梦空间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,9,9.3,1797452,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",2010,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,10,9.4,1234367,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...
                            2009 / 美国 英国 / 剧情
                        ",2009,永远都不能忘记你所爱的人。
星际穿越,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,11,9.3,1475381,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
                        ",2014,爱是一种力量，让我们超越时空感知它的存在。
楚门的世界,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,12,9.3,1397380,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
                            1998 / 美国 / 剧情 科幻
                        ",1998,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,13,9.3,1460820,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...
                            1998 / 意大利 / 剧情 音乐
                        ",1998,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,14,9.2,1635698,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        ",2009,英俊版憨豆，高情商版谢耳朵。
机器人总动员,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,15,9.3,1151997,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...
                            2008 / 美国 / 科幻 动画 冒险
                        ",2008,小瓦力，大人生。
放牛班的春天,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,16,9.3,1136927,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...
                            2004 / 法国 瑞士 德国 / 剧情 喜剧 音乐
                        ",2004,天籁一般的童声，是最接近上帝的存在。 
无间道,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,17,9.3,1130543,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生
                            2002 / 中国香港 / 剧情 犯罪 惊悚
                        ",2002,香港电影史上永不过时的杰作。
疯狂动物城,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,18,9.2,1626891,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
                            2016 / 美国 / 喜剧 动画 冒险
                        ",2016,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,19,9.2,1332701,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",1995,一生所爱。
