account_title,account_link,vote_num,star,comment_time,comment_location,comment
山山而川,https://www.douban.com/people/199812512/,7650,还行,2022-08-07 21:54:57,,女主虽然声音很作但是至少咬字清楚（绝对吊打隔壁那个连话都说不清楚的）当然现在的标准降低到这样实在是国产剧的悲哀
水乡伶人,https://www.douban.com/people/135199394/,21946,推荐,2022-08-09 15:46:33,,小学生看很幼稚，二十来岁的女大学生看刚刚好🤭
如何,https://www.douban.com/people/138033674/,10003,很差,2022-08-07 21:11:38,,这女主说台词的方式是认真的吗？念个旁白都要撒娇？……也算是开创了先河
庄宝珍,https://www.douban.com/people/82869423/,10886,还行,2022-08-07 21:14:00,,"王鹤棣演技进步很大，虞书欣也很灵，两人挺搭，这是可以说的吗？
小学生看有点幼稚，我这样的大人看刚刚好😊。"
寝寝,https://www.douban.com/people/dcx224/,21761,力荐,2022-08-11 23:54:46,,。。很难想象，这是王鹤棣的演技，医学奇迹了。
nder归晓,https://www.douban.com/people/181786760/,5300,还行,2022-08-07 21:26:27,,蛮不错的，最起码跟当下的同类型剧做出区别了、
拥桑,https://www.douban.com/people/147963487/,4041,还行,2022-08-07 22:59:30,,"1.剧情简单但不恶俗，到底是角色真傻白甜还是真小白兔都能看得出来。
2.没有为了谈恋爱而虐恋狗血神仙情爱，换身梗，嘴贱心软的恶魔和小白兔斗嘴依旧很吃。
3.在轻喜剧的脉络下。特效，服化道，演员原音都拿出了诚意。
4.虞书欣一如既往的可爱和不失分寸，小白兔和大魔王cp感也是够的。
5.最重要的是王鹤棣，演技进步是质的飞跃，无论是否得益角色设定，还是性冷淡or真·面瘫都适合这个角色设定，男女皆可通切，都不会让人出戏，这就够了。"
豆瓣会员,https://www.douban.com/people/102823413/,8835,较差,2022-08-07 21:20:18,,受众定位是小学生喜欢的梦幻之七彩琉璃影楼公主过家家风，给我看笑了
维多利亚,https://www.douban.com/people/loveaxin520/,7105,推荐,2022-08-14 04:34:46,,实话实说，确实土但很上头。王鹤棣碰上虞书欣像是终于开了窍一样，简直是…焕然新生，这才是仙侠届最帅的道明寺！
宁王殿下,https://www.douban.com/people/hoult/,11211,推荐,2022-08-07 21:14:22,,好看好看好看，特效艳丽。情节有趣，笑死我了。会员充得值。
suicide demo,https://www.douban.com/people/163325886/,18514,力荐,2022-08-15 00:19:29,,我是土狗 我审美低下 我道德败坏 我没有理智
君越千里,https://www.douban.com/people/122102583/,9274,推荐,2022-08-09 00:17:50,,竟然让我找不到槽点，你说气人不气人！一口气炫了八集，我给八分！什么特么的是惊喜？你可以放心大胆地看了，因为，这个就叫做惊喜！
盐粒粒,https://www.douban.com/people/150895108/,15346,力荐,2022-08-14 00:09:14,,目前不想和没看过苍兰诀的人说话
